position,entropy_value
421,0.536053
422,1.39689
423,2.19265
424,0.192645
425,1.51457
426,0.0565835
427,0.106915
428,0.0421871
429,4.29974
430,2.02975
431,0.438121
432,0.232173
433,3.94811
434,4.64386
435,0.807355
436,1.22239
437,0.465664
438,0.131245
439,2.58496
440,2
441,1.1375
442,0.530515
443,1.11548
444,0.621488
445,0.29956
446,1.58496
447,0.925999
448,1.36923
449,4
450,0.736966
451,1
452,3.58496
453,2.58496
454,1
455,1.45943
456,1.48543
457,0.807355
458,6.18982
459,2.16993
460,1.58496
461,0.584963
462,1.08746
463,2.32193
464,0.347923
465,4.45943
466,2.32193
467,0.807355
468,0.36257
469,0.731804
470,0.79518
471,5.40372
472,2.58496
473,2.32193
474,1.58496
475,0.263034
476,1.58496
477,0.584963
478,3.70044
479,0.485427
480,0.211504
481,4.83289
482,0.137504
483,3.41504
484,1.58496
485,2
486,1.58496
487,1.73697
488,2
489,0.180572
490,0.0759489
491,0.373458
492,3.69326
493,1.5639
494,2.58496
495,1.58496
496,2.5325
497,0.192645
498,0.540568
499,2.11548
500,2.16993
501,2
502,1
503,3.58496
504,1.58496
505,1.16993
506,0.459432
507,3.94811
508,1.32193
509,1.53051
510,1.32193
511,0.388271
512,3.54432
513,0.678072
514,1
515,0.374396
516,0.422691
517,2.65821
518,0.0780025
519,4.56478
520,0.514573
521,0.938599
522,2.76081
523,2.32193
524,2.58496
525,3.27302
526,0.765535
527,0.0962153
528,0.454259
529,0.383787
530,3.97154
531,1.848
532,1.19265
533,2.1375
534,2.11548
535,0.736966
536,1.848
537,0.31034
538,1.75489
539,0.736966
540,2
541,0.584963
542,3.45943
543,2.80735
544,1
545,1.90689
546,0.14439
547,0.14439
548,0.14439
549,0.932886
550,2.32193
551,0.621488
552,4.32193
553,2.20945
554,1.1375
555,0.415037
556,4.45943
557,0.263034
558,0.807355
559,3.36257
560,2.70044
561,3.45943
562,1.58496
563,1.58496
564,1.58496
565,1
566,2
567,1
568,3.75489
569,1.73697
570,0.793549
571,3.77259
572,3.16993
573,0.736966
574,0.736966
575,0.925999
576,3.58496
577,1.58496
578,1.58496
579,1.58496
580,0.874469
581,3
582,2
583,2.32193
584,2.32193
585,2.23266
586,1.03103
587,4.53916
588,3.90689
589,2.58496
590,0.736966
591,0.584963
592,0.584963
593,0.584963
594,2.58496
595,1.58496
596,2.58496
597,1.58496
598,2.70044
599,1
600,3.16993
601,0.321928
602,0.0614005
