position,entropy_value
461,1.82081
462,0.831557
463,5.31711
464,4.20945
465,2.16993
466,3.16993
467,0.784271
468,2.10352
469,3.54344
470,1.82081
471,0.831557
472,0.806149
473,3.43348
474,2.01381
475,2.34973
476,1.83588
477,3.13516
478,2.45943
479,1.11548
480,4.39689
481,3
482,3.17493
483,3.2711
484,4.36712
485,1.49185
486,0.935727
487,0.422172
488,3.92811
489,1.558
490,1.60486
491,1.32524
492,0.615082
493,3.95087
494,2.03308
495,1.02985
496,1.37046
497,0.607924
498,2.60915
499,4.21378
500,0.584963
501,1.08314
502,2.90689
503,1.60586
504,3.3505
505,3.16651
506,0.966833
507,1.01683
508,1.42545
509,0.990002
510,4.34136
511,2.48829
512,2.23507
513,2.6746
514,6.36741
515,0.0480943
516,1.07276
517,0.321928
518,2.60666
519,1
520,3.17251
521,0.949374
522,4.64111
523,3.15966
524,2.42502
525,2.2115
526,1.92892
527,4.24393
528,0.846377
529,1.5521
530,2.68557
531,1.15582
532,3.21715
533,4.15796
534,2.85383
535,0.607924
536,4.39575
537,4.11151
538,3.70044
539,1.58496
540,1.58496
541,2
542,1.12029
543,2.62599
544,1.22677
545,3.41653
546,2.22687
547,0.809569
548,4.29855
549,6.16993
550,0.0801703
551,1.30485
552,1.32193
553,8.16993
554,5.08746
555,1.08746
556,0.289507
557,3.07973
558,1.45066
559,2.83735
560,1.15582
561,3.20945
562,2.48981
563,0.809569
564,6.88352
565,3.40599
566,2.58496
567,1.16993
568,0.584963
569,0.584963
570,3.15381
571,6.40939
572,2.80735
573,0.241008
574,3.41504
575,1.57268
576,3.3339
577,0.885829
578,1.44846
579,0.120294
580,6.49185
581,1
582,0.536053
583,6.53398
584,2.2863
585,0.38247
586,0.436986
587,0.734241
588,2.10794
589,3.32819
590,2.48956
591,3.89655
592,0.00784075
593,0.155754
594,0.393772
595,5.17719
596,2.73316
597,4.17932
598,0.137504
599,1.5119
600,2.23704
601,2.0174
602,4.40439
603,3.64386
604,2.58496
605,3.16993
606,1.20163
607,7.61471
608,1.58496
609,0.415037
610,0.415037
611,3.68314
612,1.01465
613,0.885468
614,4.94729
615,2.75132
616,1.39232
617,1.90689
618,0.459432
619,0.906891
620,0.115477
621,6.90956
622,1.11548
623,1.70044
624,2.56003
625,1.15582
626,3.20945
627,1.01465
628,0.885468
629,6.11721
630,3.24793
631,1.58496
632,3.54432
633,2.32193
634,2.32193
635,2.70044
636,6.40939
637,1.22239
638,4.24793
639,1.48543
640,2.19666
641,0.764372
642,2.1872
643,3.53605
644,2.68946
645,2.7881
646,0.716467
647,4.25661
648,2.08746
649,3.51918
650,0.425306
651,0.211504
652,0.969303
653,2.45468
654,0.781576
655,4.8298
656,0.00784075
657,0.155754
658,0.393772
659,3.70251
660,3.59991
661,3.11839
662,0.565597
