context,symbol,count
.\nPois se do ajuntamento aventureiro\nOs ventos e,s,1
am.\nPois se do ajuntamento aventureiro\nOs ventos, ,1
arreio;\nQue muitas tem no reino, que confina\nDa ,m,1
ram.\nPois se do ajuntamento aventureiro\nOs vento,s,1
égio sólio posto,\nOlhai que sois (e vede as out,r,1
Ásia começa aqui, que se apresenta\nEm terras gr,a,1
te lhe coroa,\nQuando, sem sombra vã de medo ou p,e,1
tiram.\nPois se do ajuntamento aventureiro\nOs ven,t,1
stiram.\nPois se do ajuntamento aventureiro\nOs ve,n,1
 e ali, e dessossegado:\n\n88\nTal o vago juízo f,l,1
istiram.\nPois se do ajuntamento aventureiro\nOs v,e,1
sistiram.\nPois se do ajuntamento aventureiro\nOs ,v,1
 vejo!\nO Cabo Tormentório, que a memória\nCos o,s,1
 resistiram.\nPois se do ajuntamento aventureiro\n,O,1
ros todos resistiram.\nPois se do ajuntamento aven,t,1
outros todos resistiram.\nPois se do ajuntamento a,v,1
 outros todos resistiram.\nPois se do ajuntamento ,a,1
s outros todos resistiram.\nPois se do ajuntamento, ,1
eja.\nSeus ministros ajunta, por que leve\nExérci,t,1
os outros todos resistiram.\nPois se do ajuntament,o,1
 os outros todos resistiram.\nPois se do ajuntamen,t,1
ási giganteia\nHomens verá, da terra ali vizinha,;,1
 e os outros todos resistiram.\nPois se do ajuntam,e,1
, e os outros todos resistiram.\nPois se do ajunta,m,1
uilo, e os outros todos resistiram.\nPois se do aj,u,1
quilo, e os outros todos resistiram.\nPois se do a,j,1
ue não dariam\nA cerviz sua ao jugo, o ferro e ir,a,1
Aquilo, e os outros todos resistiram.\nPois se do ,a,1
�es, que vêm representando\nCair o céu dos eixos, ,1
nAquilo, e os outros todos resistiram.\nPois se do, ,1
salteado dos enganos,\nQue esperava dos feros Maum,e,1
\nAquilo, e os outros todos resistiram.\nPois se d,o,1
ro\nAquilo, e os outros todos resistiram.\nPois se, ,1
heiro\nAquilo, e os outros todos resistiram.\nPois, ,1
Na qual tu mereceste paz serena!\nQue o corpo, que, ,1
anheiro\nAquilo, e os outros todos resistiram.\nPo,i,1
panheiro\nAquilo, e os outros todos resistiram.\nP,o,1
ompanheiro\nAquilo, e os outros todos resistiram.\,n,1
companheiro\nAquilo, e os outros todos resistiram.,\,1
o companheiro\nAquilo, e os outros todos resistira,m,1
e o companheiro\nAquilo, e os outros todos resisti,r,1
, e o companheiro\nAquilo, e os outros todos resis,t,1
o de seu ferro:\nFortuna o trouxe a tão loiro des,t,1
o, e o companheiro\nAquilo, e os outros todos resi,s,1
iado, e o companheiro\nAquilo, e os outros todos r,e,1
 Filipe de Meneses\nSe mostrará a virtude, em arm,a,1
riado, e o companheiro\nAquilo, e os outros todos ,r,1
com a mal regida gente,\nQue lhe não for agora ob,e,1
uriado, e o companheiro\nAquilo, e os outros todos, ,1
juriado, e o companheiro\nAquilo, e os outros todo,s,1
njuriado, e o companheiro\nAquilo, e os outros tod,o,1
injuriado, e o companheiro\nAquilo, e os outros to,d,1
 nações, são infinitas:\nUm reino Mahometa, out,r,1
 injuriado, e o companheiro\nAquilo, e os outros t,o,1
sso do Olimpo já fugi,\nBuscando algum remédio a, ,1
s injuriado, e o companheiro\nAquilo, e os outros ,t,1
\nDe esmeraldas, rubis, tais que presume\nA vista ,q,1
as injuriado, e o companheiro\nAquilo, e os outros, ,1
ira bem sustenta.\nFará em Noronha a morte o usad,o,1
por ser poucos, não temamos:\nO que depois mil ve,z,1
Bóreas injuriado, e o companheiro\nAquilo, e os o,u,1
iram,\nBóreas injuriado, e o companheiro\nAquilo,, ,1
riram,\nBóreas injuriado, e o companheiro\nAquilo,,,1
briram,\nBóreas injuriado, e o companheiro\nAquil,o,1
abriram,\nBóreas injuriado, e o companheiro\nAqui,l,1
 arrasta\nPera onde faça um sumptuoso templo\nQue, ,1
inho abriram,\nBóreas injuriado, e o companheiro\,n,1
m memória,\nQue merecerem ter eterna glória!\n\n,8,1
 caminho abriram,\nBóreas injuriado, e o companhe,i,1
e caminho abriram,\nBóreas injuriado, e o companh,e,1
ortais, onde forjavam\nPara as setas as pontas pen,e,1
 vista.\nLançando a grave voz do sábio peito,\nQ,u,1
ste caminho abriram,\nBóreas injuriado, e o compa,n,1
este caminho abriram,\nBóreas injuriado, e o comp,a,1
 este caminho abriram,\nBóreas injuriado, e o com,p,1
no este caminho abriram,\nBóreas injuriado, e o c,o,1
eino este caminho abriram,\nBóreas injuriado, e o, ,1
ende,\nE folgarás de veres a polícia\nPortuguesa, ,1
 reino este caminho abriram,\nBóreas injuriado, e, ,1
o, a fresca rosa bela,\nQual reluz nas faces da do,n,1
o reino este caminho abriram,\nBóreas injuriado, ,e,1
 fraudulenta.\nMas vingo-me: que os bens mal repar,t,1
sso reino este caminho abriram,\nBóreas injuriado,,,1
nPelas portas do qual juntos entravam.\n\n47\nAli ,e,1
osso reino este caminho abriram,\nBóreas injuriad,o,1
vosso reino este caminho abriram,\nBóreas injuria,d,1
ssarem\nTeu valor alto, o fado quer que venhas\nA ,m,1
o vosso reino este caminho abriram,\nBóreas injur,i,1
o os Arúspices famosos\nNa falsa opinião, que em, ,1
ro\nNo vosso reino este caminho abriram,\nBóreas ,i,1
iro\nNo vosso reino este caminho abriram,\nBóreas, ,1
a o Cabo Asaboro, que chamado\nAgora é Moçandão,,,1
eiro\nNo vosso reino este caminho abriram,\nBórea,s,1
meiro\nNo vosso reino este caminho abriram,\nBóre,a,1
n\n138\n"Eis aqui as novas partes do Oriente\nQue ,v,1
imeiro\nNo vosso reino este caminho abriram,\nBór,e,1
rimeiro\nNo vosso reino este caminho abriram,\nBó,r,1
s,\nSem ter necessidade de cultura,\nQue sem ela s,e,1
tens em nada,\nA socorrer-me a tua potestade\nMe t,r,1
 que primeiro\nNo vosso reino este caminho abriram,,,1
bem que está composto\nDe vários orbes, que a Di,v,1
, que primeiro\nNo vosso reino este caminho abrira,m,1
aves de Júpiter validas;\nQue já naquele tempo a,s,1
s, que primeiro\nNo vosso reino este caminho abrir,a,1
as, que primeiro\nNo vosso reino este caminho abri,r,1
oeminente,\nPara o Gama vem com passo brando,\nPar,a,1
ias, que primeiro\nNo vosso reino este caminho abr,i,1
ínias, que primeiro\nNo vosso reino este caminho ,a,1
perpétuo sono\nE fez da vida ao fim breve interva,l,1
ava,\nDepois que sossegado e livre o teve\nDo vizi,n,1
 Mínias, que primeiro\nNo vosso reino este caminh,o,1
s Mínias, que primeiro\nNo vosso reino este camin,h,1
e Juno, com Diana,\nTodos foram de fraca carne hum,a,1
 ar cantando voam,\nAlegres animais o chão povoam,.,1
a os Mínias, que primeiro\nNo vosso reino este ca,m,1
ra os Mínias, que primeiro\nNo vosso reino este c,a,1
tra os Mínias, que primeiro\nNo vosso reino este ,c,1
egando.\n\n73\nOutra, como acudindo mais depressa\,n,1
ntra os Mínias, que primeiro\nNo vosso reino este, ,1
ontra os Mínias, que primeiro\nNo vosso reino est,e,1
o tão comprido;\nTenassari, Quedá, que é só ca,b,1
ígris e Eufrates üa entrada.\n\n103\n"Olha da gr,a,1
 contra os Mínias, que primeiro\nNo vosso reino e,s,1
e contra os Mínias, que primeiro\nNo vosso reino ,e,1
spano\nSeguindo as armas, que contino usou;\nDo Do,u,1
ue contra os Mínias, que primeiro\nNo vosso reino, ,1
rrer pelas ribeiras.\nFugindo as Ninfas vão por e,n,1
no cristal resplandecente,\nQue em si o está pint,a,1
que contra os Mínias, que primeiro\nNo vosso rein,o,1
 que contra os Mínias, que primeiro\nNo vosso rei,n,1
em junto ao lado nunca frio,\nEsculpido o feroz gi,n,1
i que contra os Mínias, que primeiro\nNo vosso re,i,1
vi que contra os Mínias, que primeiro\nNo vosso r,e,1
uém já tem menos valia,\nQue quem com mais razã,o,1
 vi que contra os Mínias, que primeiro\nNo vosso ,r,1
m Pirro já tiveram.\n\n7\n"Com força, não; com ,m,1
Eu vi que contra os Mínias, que primeiro\nNo voss,o,1
 vezes ferido o peito vedes;\nE por baixos e rudos,,,1
"Eu vi que contra os Mínias, que primeiro\nNo vos,s,1
\n"Eu vi que contra os Mínias, que primeiro\nNo v,o,1
\n31\n"Eu vi que contra os Mínias, que primeiro\n,N,1
n\n31\n"Eu vi que contra os Mínias, que primeiro\,n,1
não somente algum perigo\nEstorva conquistar o po,v,1
.\n\n31\n"Eu vi que contra os Mínias, que primeir,o,1
o.\n\n31\n"Eu vi que contra os Mínias, que primei,r,1
s com toda a corte:\nEstavam três e três, e quat,r,1
do.\n\n31\n"Eu vi que contra os Mínias, que prime,i,1
nça dos sete caçadores!\n\n26\n"Vês? com bélic,a,1
ndo.\n\n31\n"Eu vi que contra os Mínias, que prim,e,1
ando.\n\n31\n"Eu vi que contra os Mínias, que pri,m,1
brando.\n\n31\n"Eu vi que contra os Mínias, que p,r,1
ebrando.\n\n31\n"Eu vi que contra os Mínias, que ,p,1
uebrando.\n\n31\n"Eu vi que contra os Mínias, que, ,1
quebrando.\n\n31\n"Eu vi que contra os Mínias, qu,e,1
 quebrando.\n\n31\n"Eu vi que contra os Mínias, q,u,1
ão quebrando.\n\n31\n"Eu vi que contra os Mínias,,,1
vão quebrando.\n\n31\n"Eu vi que contra os Mínia,s,1
nvertida\nPerístera, as boninas apanhando.\nEm de,r,1
s vão quebrando.\n\n31\n"Eu vi que contra os Mín,i,1
os vão quebrando.\n\n31\n"Eu vi que contra os Mí,n,1
utos vão quebrando.\n\n31\n"Eu vi que contra os M,�,1
 Vulcano,\nE que pode ser delas oprimido,\nSegundo, ,1
tutos vão quebrando.\n\n31\n"Eu vi que contra os ,M,1
atutos vão quebrando.\n\n31\n"Eu vi que contra os, ,1
tatutos vão quebrando.\n\n31\n"Eu vi que contra o,s,1
estatutos vão quebrando.\n\n31\n"Eu vi que contra, ,1
também diz que a bélica excelência,\nNas armas ,e,1
 estatutos vão quebrando.\n\n31\n"Eu vi que contr,a,1
s estatutos vão quebrando.\n\n31\n"Eu vi que cont,r,1
os estatutos vão quebrando.\n\n31\n"Eu vi que con,t,1
sos estatutos vão quebrando.\n\n31\n"Eu vi que co,n,1
alabar terá admirado.\nCometerá outra vez, não ,d,1
ossos estatutos vão quebrando.\n\n31\n"Eu vi que ,c,1
me é celebrado.\n\n134\n"Ali também Timor, que o, ,1
vossos estatutos vão quebrando.\n\n31\n"Eu vi que, ,1
s vossos estatutos vão quebrando.\n\n31\n"Eu vi q,u,1
nOs vossos estatutos vão quebrando.\n\n31\n"Eu vi, ,1
\nOs vossos estatutos vão quebrando.\n\n31\n"Eu v,i,1
,\nOs vossos estatutos vão quebrando.\n\n31\n"Eu ,v,1
o,\nOs vossos estatutos vão quebrando.\n\n31\n"Eu, ,1
ndo,\nOs vossos estatutos vão quebrando.\n\n31\n",E,1
ei, que aventuraram\nPor seu Deus, por seu Rei, a ,a,1
ando,\nOs vossos estatutos vão quebrando.\n\n31\n,",1
sando,\nOs vossos estatutos vão quebrando.\n\n31\,n,1
ssando,\nOs vossos estatutos vão quebrando.\n\n31,\,1
 e no lavor.\nNo recostado gesto se assinala\nUm v,e,1
nignamente.\n\n29\nO Capitão o abraça em cabo le,d,1
vassando,\nOs vossos estatutos vão quebrando.\n\n,3,1
evassando,\nOs vossos estatutos vão quebrando.\n\,n,1
remota parte.\nEntrando o mensageiro pelo rio,\nQu,e,1
devassando,\nOs vossos estatutos vão quebrando.\n,\,1
\nEnfim, com mil deleites não vulgares,\nOs esper,e,1
 devassando,\nOs vossos estatutos vão quebrando.\,n,1
 despacho se tornasse,\nQue já sentia em tudo da ,m,1
no devassando,\nOs vossos estatutos vão quebrando,.,1
ices famosos\nNa falsa opinião, que em sacrifíci,o,1
ino devassando,\nOs vossos estatutos vão quebrand,o,1
eino devassando,\nOs vossos estatutos vão quebran,d,1
reino devassando,\nOs vossos estatutos vão quebra,n,1
�s levaram\nDos jogos de Belona verdadeiros,\nQue ,c,1
 reino devassando,\nOs vossos estatutos vão quebr,a,1
"Mas aquela, a quem fora em sorte dado\nMagriço, ,q,1
sso reino devassando,\nOs vossos estatutos vão qu,e,1
 vosso reino devassando,\nOs vossos estatutos vão, ,1
o vosso reino devassando,\nOs vossos estatutos vã,o,1
s, o vosso reino devassando,\nOs vossos estatutos ,v,1
des, o vosso reino devassando,\nOs vossos estatuto,s,1
edes, o vosso reino devassando,\nOs vossos estatut,o,1
Vedes, o vosso reino devassando,\nOs vossos estatu,t,1
ão povoam.\n\n63\nAo longo da água o níveo cisn,e,1
nVedes, o vosso reino devassando,\nOs vossos estat,u,1
;\nVedes, o vosso reino devassando,\nOs vossos est,a,1
doe-me a ilustre Grécia ou Roma.\n\n20\n"Porque t,a,1
a;\nVedes, o vosso reino devassando,\nOs vossos es,t,1
 Roma;\nVedes, o vosso reino devassando,\nOs vosso,s,1
eresse maior do que lhe vinha,\nSe o Capitão mais, ,1
erra que era sua.\n\n6\nGuarda-lhe por entanto um ,f,1
e Roma;\nVedes, o vosso reino devassando,\nOs voss,o,1
to dar dobrado.\nTambém tu, Gama, em pago do dest,e,1
de Roma;\nVedes, o vosso reino devassando,\nOs vos,s,1
a de Roma;\nVedes, o vosso reino devassando,\nOs v,o,1
alta de Roma;\nVedes, o vosso reino devassando,\nO,s,1
Dele, com larga voz tratava e lia.\nA disciplina m,i,1
las,\nQue mais formosas vinham que as estrelas.\n\,n,1
e alta de Roma;\nVedes, o vosso reino devassando,\,n,1
te alta de Roma;\nVedes, o vosso reino devassando,,\,1
nte alta de Roma;\nVedes, o vosso reino devassando,,,1
gente alta de Roma;\nVedes, o vosso reino devassan,d,1
 gente alta de Roma;\nVedes, o vosso reino devassa,n,1
a gente alta de Roma;\nVedes, o vosso reino devass,a,1
 a gente alta de Roma;\nVedes, o vosso reino devas,s,1
a a garcenha ou pata conhecida,\nAntes que soe o e,s,1
\nCom que nos poucos seus o esforço cresce.\n\n24,\,1
z a gente alta de Roma;\nVedes, o vosso reino deva,s,1
\nSeja seu cavaleiro nesta empresa;\nBem que os on,z,1
fez a gente alta de Roma;\nVedes, o vosso reino de,v,1
 fez a gente alta de Roma;\nVedes, o vosso reino d,e,1
 que fez a gente alta de Roma;\nVedes, o vosso rei,n,1
do que fez a gente alta de Roma;\nVedes, o vosso r,e,1
s do que fez a gente alta de Roma;\nVedes, o vosso, ,1
is do que fez a gente alta de Roma;\nVedes, o voss,o,1
ue a cobrir natura ensina.\nDois modos há de gent,e,1
Mais do que fez a gente alta de Roma;\nVedes, o vo,s,1
nMais do que fez a gente alta de Roma;\nVedes, o v,o,1
\nMais do que fez a gente alta de Roma;\nVedes, o ,v,1
,\nMais do que fez a gente alta de Roma;\nVedes, o, ,1
e que a salvar o mundo veio.\nNão menos gritos v�,�,1
o,\nMais do que fez a gente alta de Roma;\nVedes, ,o,1
vão,\nMais do que fez a gente alta de Roma;\nVede,s,1
o vão,\nMais do que fez a gente alta de Roma;\nVe,d,1
oda a província do mar grande\nSuas mercadorias r,i,1
undido metal, que tudo rende,\nE folgarás de vere,s,1
ando vão,\nMais do que fez a gente alta de Roma;\,n,1
rtando vão,\nMais do que fez a gente alta de Roma,;,1
\nCurva e quieta, cuja branca areia,\nPintou de ru,i,1
ortando vão,\nMais do que fez a gente alta de Rom,a,1
cortando vão,\nMais do que fez a gente alta de Ro,m,1
r cortando vão,\nMais do que fez a gente alta de ,R,1
ar cortando vão,\nMais do que fez a gente alta de, ,1
 mar cortando vão,\nMais do que fez a gente alta ,d,1
o mar cortando vão,\nMais do que fez a gente alta, ,1
o Rei relatam\nA pressa com que a armada se levava,.,1
sso mar cortando vão,\nMais do que fez a gente al,t,1
vosso mar cortando vão,\nMais do que fez a gente ,a,1
o vosso mar cortando vão,\nMais do que fez a gent,e,1
 o vosso mar cortando vão,\nMais do que fez a gen,t,1
 gente.\nAqui se enxerga lá do mar undoso\nUm mon,t,1
s, o vosso mar cortando vão,\nMais do que fez a g,e,1
des, o vosso mar cortando vão,\nMais do que fez a, ,1
Vedes, o vosso mar cortando vão,\nMais do que fez, ,1
nVedes, o vosso mar cortando vão,\nMais do que fe,z,1
\nVedes, o vosso mar cortando vão,\nMais do que f,e,1
;\nVedes, o vosso mar cortando vão,\nMais do que ,f,1
ma;\nVedes, o vosso mar cortando vão,\nMais do qu,e,1
oma;\nVedes, o vosso mar cortando vão,\nMais do q,u,1
as aqueles avaros Catuais,\nQue o Gentílico povo ,g,1
doma;\nVedes, o vosso mar cortando vão,\nMais do ,q,1
o doma;\nVedes, o vosso mar cortando vão,\nMais d,o,1
do doma;\nVedes, o vosso mar cortando vão,\nMais ,d,1
odo doma;\nVedes, o vosso mar cortando vão,\nMais, ,1
o-lhe as galés, levando a glória\nDa primeira ma,r,1
o todo doma;\nVedes, o vosso mar cortando vão,\nM,a,1
hum passado se contenta;\nQue a pátria, que de um, ,1
do todo doma;\nVedes, o vosso mar cortando vão,\n,M,1
ndo todo doma;\nVedes, o vosso mar cortando vão,\,n,1
undo todo doma;\nVedes, o vosso mar cortando vão,,\,1
 o mundo todo doma;\nVedes, o vosso mar cortando v,�,1
e o mundo todo doma;\nVedes, o vosso mar cortando ,v,1
a na paz e na milícia."\n\n73\nJá com desejos o ,I,1
 e o mundo todo doma;\nVedes, o vosso mar cortando, ,1
\nDa terra a luz solar com a terra esconde,\nTingi,n,1
, e o mundo todo doma;\nVedes, o vosso mar cortand,o,1
a mi, e o mundo todo doma;\nVedes, o vosso mar cor,t,1
de quem governa o céu rotundo;\nVós, a quem não, ,1
 e a mi, e o mundo todo doma;\nVedes, o vosso mar ,c,1
, e a mi, e o mundo todo doma;\nVedes, o vosso mar, ,1
s, e a mi, e o mundo todo doma;\nVedes, o vosso ma,r,1
�s, e a mi, e o mundo todo doma;\nVedes, o vosso m,a,1
ós, e a mi, e o mundo todo doma;\nVedes, o vosso ,m,1
lime, o régio peito,\nNenhum caso possível tem p,o,1
A vós, e a mi, e o mundo todo doma;\nVedes, o vos,s,1
nA vós, e a mi, e o mundo todo doma;\nVedes, o vo,s,1
Glória vã não pretende nem dinheiro.\n\n151\nOs, ,1
ebela,\nPor que entendam que muro adamantino,\nNem, ,1
r dos cortesãos aventureiro\nDeseja ser, com fér,v,1
\nA vós, e a mi, e o mundo todo doma;\nVedes, o v,o,1
o,\nA vós, e a mi, e o mundo todo doma;\nVedes, o, ,1
�o,\nA vós, e a mi, e o mundo todo doma;\nVedes, ,o,1
ção,\nA vós, e a mi, e o mundo todo doma;\nVede,s,1
e.\nNão menos suas terras mal sustenta\nO Hidalc�,�,1
ação,\nA vós, e a mi, e o mundo todo doma;\nVed,e,1
ração,\nA vós, e a mi, e o mundo todo doma;\nVe,d,1
vo coração,\nA vós, e a mi, e o mundo todo doma,;,1
ama que tão perto\nDo fim de seu desejo se perdia,;,1
ivo coração,\nA vós, e a mi, e o mundo todo dom,a,1
tivo coração,\nA vós, e a mi, e o mundo todo do,m,1
altivo coração,\nA vós, e a mi, e o mundo todo ,d,1
a\nCutiale, com quanta armada tenha.\n\n60\n"E nã,o,1
agens poderão\nO que destros imigos não puderam;,\,1
e altivo coração,\nA vós, e a mi, e o mundo tod,o,1
 e altivo coração,\nA vós, e a mi, e o mundo to,d,1
o e altivo coração,\nA vós, e a mi, e o mundo t,o,1
bo e altivo coração,\nA vós, e a mi, e o mundo ,t,1
rbo e altivo coração,\nA vós, e a mi, e o mundo, ,1
, que fala, querem mal.\n\n42\n"Não nego que há ,c,1
berbo e altivo coração,\nA vós, e a mi, e o mun,d,1
oberbo e altivo coração,\nA vós, e a mi, e o mu,n,1
soberbo e altivo coração,\nA vós, e a mi, e o m,u,1
s;\nA quaisquer vossos ásperos mandados,\nSem dar, ,1
 soberbo e altivo coração,\nA vós, e a mi, e o ,m,1
Com soberbo e altivo coração,\nA vós, e a mi, e, ,1
\nCom soberbo e altivo coração,\nA vós, e a mi,, ,1
,\nCom soberbo e altivo coração,\nA vós, e a mi,,,1
 que a armada se levava.\nAs mulheres e filhos que, ,1
ma,\nCom soberbo e altivo coração,\nA vós, e a ,m,1
 o ar e o vento\nSereno faz, com brando movimento.,\,1
 toma,\nCom soberbo e altivo coração,\nA vós, e, ,1
me toma,\nCom soberbo e altivo coração,\nA vós,, ,1
juntaram;\nAlguns que fosse Ofir imaginaram.\n\n12,5,1
e geralmente.\n\n62\n"Viram todos o rosto aonde ha,v,1
nome toma,\nCom soberbo e altivo coração,\nA vó,s,1
 nome toma,\nCom soberbo e altivo coração,\nA v�,�,1
o nome toma,\nCom soberbo e altivo coração,\nA v,�,1
 o nome toma,\nCom soberbo e altivo coração,\nA ,v,1
do o Inverno o mundo espanta\nE tem o caminho húm,i,1
eu o nome toma,\nCom soberbo e altivo coração,\n,A,1
meu o nome toma,\nCom soberbo e altivo coração,\,n,1
o meu o nome toma,\nCom soberbo e altivo coração,,,1
lo meu o nome toma,\nCom soberbo e altivo coraçã,o,1
alo meu o nome toma,\nCom soberbo e altivo coraç�,�,1
salo meu o nome toma,\nCom soberbo e altivo coraç,�,1
e gentes;\nVir a lograr o prémio, que ganhara\nPo,r,1
assalo meu o nome toma,\nCom soberbo e altivo cora,�,1
mio\nDa madre Tethys, qual pirata inico,\nDos trab,a,1
m vassalo meu o nome toma,\nCom soberbo e altivo c,o,1
um vassalo meu o nome toma,\nCom soberbo e altivo ,c,1
ndo avara,\nInculta e toda cheia de bruteza;\nCo C,a,1
 dum vassalo meu o nome toma,\nCom soberbo e altiv,o,1
Que dum vassalo meu o nome toma,\nCom soberbo e al,t,1
nQue dum vassalo meu o nome toma,\nCom soberbo e a,l,1
o\nQue dum vassalo meu o nome toma,\nCom soberbo e, ,1
erra.\n\n15\nE todos outra vez desbaratando,\nPor ,t,1
�o\nQue dum vassalo meu o nome toma,\nCom soberbo ,e,1
�ão\nQue dum vassalo meu o nome toma,\nCom soberb,o,1
aca muito tempo feitos,\nNum só dia as injúrias ,d,1
ção\nQue dum vassalo meu o nome toma,\nCom sober,b,1
ação\nQue dum vassalo meu o nome toma,\nCom sobe,r,1
e morte,\nOs brutos animais de toda sorte.\n\n128\,n,1
rrendo o Gange vem?\n\n106\n"Olha a terra de Ulcin,d,1
em as rodas\n(Nüa cônsona voz todas soavam),\nN�,�,1
ração\nQue dum vassalo meu o nome toma,\nCom sob,e,1
eração\nQue dum vassalo meu o nome toma,\nCom so,b,1
to,\nQue o bom Religioso verdadeiro\nGlória vã n,�,1
geração\nQue dum vassalo meu o nome toma,\nCom s,o,1
a geração\nQue dum vassalo meu o nome toma,\nCom, ,1
tê-las.\n\n19\nPela água levará serras de fogo\,n,1
o corpo estavam confiadas,\nPosta a artificiosa fo,r,1
 estavam\nCorruptos pela Maumetana gente,\nO princ,i,1
se os doze, em tempo breve,\nDe armas, e roupas de, ,1
aca geração\nQue dum vassalo meu o nome toma,\nC,o,1
ém aos Mouros dando a morto,\nTomando-lhe as gal�,�,1
raca geração\nQue dum vassalo meu o nome toma,\n,C,1
 a fazem, com um ruído\nQue o mundo pareceu ser d,e,1
 fraca geração\nQue dum vassalo meu o nome toma,,\,1
tiópia,\nTudo tem no seu Reino em grande cópia.\,n,1
 a fraca geração\nQue dum vassalo meu o nome tom,a,1
a a fraca geração\nQue dum vassalo meu o nome to,m,1
e à força só de espada\nA tranqueira soberba v�,�,1
ra a fraca geração\nQue dum vassalo meu o nome t,o,1
u Ilha,\nQue também flamas trémulas vapora,\nA f,o,1
ora a fraca geração\nQue dum vassalo meu o nome ,t,1
ente sem Lei, quási infinita.\n\n93\n"Vê do Beno,m,1
sas Ninfas, cos amantes\nPela mão, já conformes ,e,1
gora a fraca geração\nQue dum vassalo meu o nome, ,1
Eritreu, onde fundada\nArsínoe foi do Egípcio Pt,o,1
agora a fraca geração\nQue dum vassalo meu o nom,e,1
s agora a fraca geração\nQue dum vassalo meu o n,o,1
 Quirino, e os dois Tebanos,\nCeres, Palas e Juno,, ,1
ngrandeceu\nCom a superstição falsa e profana\nD,a,1
ouros indómitos bramando,\nMais e mais a tormenta, ,1
edes agora a fraca geração\nQue dum vassalo meu ,o,1
"Vedes agora a fraca geração\nQue dum vassalo me,u,1
ades e lugares,\nCom ferro, incêndios, ira e crue,l,1
\n"Vedes agora a fraca geração\nQue dum vassalo ,m,1
0\n"Vedes agora a fraca geração\nQue dum vassalo, ,1
 que a lança em sangue banha\nDestes, só por liv,r,1
 costume usado,\nQue nos ombros dos homens é leva,d,1
30\n"Vedes agora a fraca geração\nQue dum vassal,o,1
\n30\n"Vedes agora a fraca geração\nQue dum vass,a,1
\n\n30\n"Vedes agora a fraca geração\nQue dum va,s,1
.\n\n30\n"Vedes agora a fraca geração\nQue dum v,a,1
�m, não foi nacido\nPríncipe, nem dos pais aos f,i,1
os.\n\n30\n"Vedes agora a fraca geração\nQue dum, ,1
anos.\n\n30\n"Vedes agora a fraca geração\nQue d,u,1
manos.\n\n30\n"Vedes agora a fraca geração\nQue ,d,1
humanos.\n\n30\n"Vedes agora a fraca geração\nQu,e,1
�s humanos.\n\n30\n"Vedes agora a fraca geração\,n,1
osos\nO teu Rei tem a régia majestade,\nQue prese,n,1
ós humanos.\n\n30\n"Vedes agora a fraca geração,\,1
nós humanos.\n\n30\n"Vedes agora a fraca geraçã,o,1
 nós humanos.\n\n30\n"Vedes agora a fraca geraç�,�,1
ser, e nós humanos.\n\n30\n"Vedes agora a fraca g,e,1
nará a vez sétima (cantava)\nPelejar co invicto ,e,1
 ser, e nós humanos.\n\n30\n"Vedes agora a fraca ,g,1
 a ser, e nós humanos.\n\n30\n"Vedes agora a frac,a,1
es a ser, e nós humanos.\n\n30\n"Vedes agora a fr,a,1
ses a ser, e nós humanos.\n\n30\n"Vedes agora a f,r,1
m Deuses a ser, e nós humanos.\n\n30\n"Vedes agor,a,1
ve\n\n77\nAlça-se em pé, com ele o Gama junto,\n,C,1
nham Deuses a ser, e nós humanos.\n\n30\n"Vedes a,g,1
enham Deuses a ser, e nós humanos.\n\n30\n"Vedes ,a,1
Venham Deuses a ser, e nós humanos.\n\n30\n"Vedes, ,1
\nVenham Deuses a ser, e nós humanos.\n\n30\n"Ved,e,1
ue passar até o Outono;\nA Fortuna me faz o engen,h,1
nos\nVenham Deuses a ser, e nós humanos.\n\n30\n",V,1
anos\nVenham Deuses a ser, e nós humanos.\n\n30\n,",1
 anos\nVenham Deuses a ser, e nós humanos.\n\n30\,n,1
s anos\nVenham Deuses a ser, e nós humanos.\n\n30,\,1
 der a língua conselheira.\n\n55\nNem tão pouco ,d,1
os anos\nVenham Deuses a ser, e nós humanos.\n\n3,0,1
; e por que a fama\nDesta súbita vinda os não im,p,1
ucos anos\nVenham Deuses a ser, e nós humanos.\n\,n,1
poucos anos\nVenham Deuses a ser, e nós humanos.\,n,1
 poucos anos\nVenham Deuses a ser, e nós humanos.,\,1
m poucos anos\nVenham Deuses a ser, e nós humanos,.,1
 em poucos anos\nVenham Deuses a ser, e nós human,o,1
zidos lá do Atlântico tesouro.\n\n4\nOs vinhos o,d,1
éu em poucos anos\nVenham Deuses a ser, e nós hu,m,1
 Céu em poucos anos\nVenham Deuses a ser, e nós ,h,1
o Céu em poucos anos\nVenham Deuses a ser, e nós, ,1
s a formosa diferença\nA vista alegra ao povo alv,o,1
 e do Céu em poucos anos\nVenham Deuses a ser, e ,n,1
mar e do Céu em poucos anos\nVenham Deuses a ser,, ,1
 mar e do Céu em poucos anos\nVenham Deuses a ser,,,1
áveis esculturas,\nQual a Quimera em membros se v,a,1
ntidade\nSe estende uma fralda estreita, que comba,t,1
o mar e do Céu em poucos anos\nVenham Deuses a se,r,1
 por manhas e ousadias.\nEla por armas toma a seme,l,1
do mar e do Céu em poucos anos\nVenham Deuses a s,e,1
 vez desbaratando,\nPor terra e mar, o grão Pache,c,1
